Title,Location,Company,Salary,Date,Description
Senior Software Developer - Medeo,"Kelowna, BC",QHR Technologies Inc,NaN,30+ days ago,"Imagine yourself as part of one of the most dynamic companies in the healthcare technology industry today! QHR Technologies is a division of Shoppers Drug Mart, a Loblaw Company. QHR is leading the way in Canadian healthcare technology, by providing solutions to assist healthcare professionals enrich their practices and improve the quality of care delivered to all Canadians across the country. We are looking for talented, inspired, and motivated people to join our incredible team and experience a workplace culture that stands above the rest! Competitive salaries and generous perks are just a few of the reasons that QHR has been voted one of BC's Top Employers and Canada’s Top Small & Medium Employers for many years running.Position Summary:We have a work environment where exciting technical challenges in the healthcare domain meet a vibrant culture based on Care, Ownership, Respect, and Excellence. Our Electronic Medical Record (EMR) software Accuro®EMR has the largest adoption in Canada and serves thousands of practitioners and millions of patients. Our Virtual Care patient platform connects patients to their healthcare providers through tele-health technologies and improving patient-provider interactions points. We are looking for talented Angular developers to be part of our team and to help shape our next generation of products.About You:You are enthusiastic about making a significant difference in the lives of your customers through your work.You are passionate about software development and take security seriously.You have a mobile-first attitude and love building beautiful applications that are easy to understand and use.You care deeply about your code and couldn’t imagine writing software without TDD and Continuous Integration.You are a continual learner, love new ideas and have a natural curiosity to keep improving.You understand the value of timely releases to market, and know when not to budge on software quality.Qualifications:A degree or diploma in Engineering, Computer Science or a related field, or relevant work experience.7+ years of experience in JavaScript for frontend or full stack development of enterprise web applications. Angular is preferred.Bonus points if you have experience with:Angular Material DesignwebRTC and Web-socketsReactive programming (RxJS) and State management (ngRx)Android or iOSOAuth flowsBuilding software in HealthcareBoard/Card gamesFoosball/Table Tennis"
Web Developer - WordPress (Jr & Sr),"Winnipeg, MB",6P Marketing,NaN,3 days ago,"Job Summary6P Marketing is expanding and we require a Senior & Junior Web Developer/Designer to join our Creative Department. We value a well-developed skill set and, just as importantly, a passion for communications, design, multimedia, and web design. We need someone who is willing to learn, strive for excellence, try new things, and think outside the box.The ideal senior candidate has more then 5 years (Junior: 2+ years) of proven web development experience with WordPress. (Joomla considererd an asset.)Requirements:Design and development of all websites/components using CSS, HTML, HTML5, Javascript, and PHP (note: 99% of sites are built in-house using WordPress and Joomla)Ability to proactively and efficiently solve complex web related problems as they occurYou should be a creative go-getter with strong conceptual skills and 'out of the box' thinking.You work and play well with others and are: quick, meticulous, responsible, reliable, and well organized with solid production and web capabilities.Qualifications and SkillsA post-secondary degree or diploma in the fields of web design/programming, multimedia, or similar3 or more years of website development experienceFluency and 3 or more years of experience with open source CMS technologies (WordPress, Joomla)Experience with MySQL database programming and cPanel hosting and maintenanceStrong design capability with a good sense of styleExperience using Photoshop and InDesign an assetExperience managing cross-browser compatibilityStrong portfolio illustrating breadth and depth of web experienceKnowledge of web development tools / content management systemsWeb animation and video editing experience an asset (Adobe Animate, Premiere & After Effects)Research / problem-solving skillsTeam player able to effectively manage and prioritize multiple tasksOrganized self-starter with the ability to follow directionAbility to comfortably work in a fast paced team environmentAbout 6P Marketing:6P Marketing is a fast-growing, full-service agency that develops, implements, and maintains cost-effective, results-oriented marketing solutions for a wide variety of clients who are motivated and dedicated to growing their businesses.If you are looking for a collaborative, transparent, team-oriented environment where integrity and work-life balance are valued, we want to talk with you.Job Type: Full-timeExperience:Wordpress: 2 years (Required)Web Development: 2 years (Required)Location:Winnipeg, MB (Required)Language:English (Required)"
Senior Full Stack Web Developer (1-year project),"Thornhill, ON",Generali Global Health Services,NaN,30+ days ago,"Who we are:Generali Global Health Services (GGHS) provides services to globally mobile people who hold international private medical insurance. Through our worldwide network of customer service centres, health care professionals and medical facilities, we give members access to the best healthcare services in the world.Operating out of Thornhill, Ontario, (Highway 407 & Leslie Street), we hire people with a broad set of skills that connect with the business everyday. Together, our multilingual, multinational team is driving our business forward – and our success is built on the diverse backgrounds, experiences and approaches of our staff.The Senior Full Stack Web Developer at GGHS is an avid software enthusiast and researcher who always keeps up to date with software trends and approaches to deliver innovative solutions.About You:You will assist in the team effort to maximize the availability, security, performance and user-experience of all Digital Transformation platforms and stacks.You are driven. You enjoy your work and getting a job done well. You want to be part of a team that promotes their accomplishments and sees the difference they make.You are a problem solver who enjoys taking ownership, showing initiative and contributing with creative resolutions. You want to understand the process behind the decisions, the why of the design, and the nature of the application.A Senior Full Stack Web Developer's Responsibilities Could Include:Being involved in designing, building, implementing, and working with cutting edge framework.Innovating and researching new approaches and technology to be implemented into the product.Contributing to the design and specification of the Mobile architecture and implementation patterns.Developing reusable components with a focus on scaling, testing and maintenance.Ensuring highest quality code with compelling and usable customer facing interfaces when developing applications.Taking ownership of the complete life-cycle of software development including support of released product.Taking ownership of building DevOps strategy and setting up standards for the organization.Delivering solutions across digital channel comprising cloud, web, mobile and social media.Other related duties as assigned.Requirements4+ years of strong development experience in Responsive/Adaptive UI, hybrid mobile application, with strong experience utilizing front end UI frameworks (Bootstrap, Angular 7+, Typescript, React, NodeJS, CSS3, HTML5, etc.)3+ years development experience in Microsoft Cloud Stacks including but not limited to: Azure Logic Apps, Azure Service Bus, API Mgt, Azure Web/API Apps, Azure Data Factory (ADF), Azure DevOps, etc.3+ experience in delivery using Agile Methodology, DevOps TDD, etc.4+ years demonstrable knowledge of digital technologies and disciplines, with proven experience as a development lead, coaching and leading development team members a plus.Proven experience with non-relational data store (e.g. MongoDB, CouchDB, Cassandra, LDAP, etc.)Working knowledge of containerization technology (Docker containers, etc.)Experience with (SSO) Single Sign-on approaches and working knowledge of security best practices is desired.Must be a quick learner, passionate about and eager to learn other emerging/disruptive technologies (Machine Learning, AI, Blockchain and RPA.).Ability to work under pressure and tight deadlines.BenefitsWe have a strong focus on supporting employees to thrive and develop their careers while maintaining a healthy work/life balance. As a close, high-performing team, we understand that providing superior service is only possible if we offer an enjoyable and rewarding place to work.If your experience matches our needs as listed above and you are looking for a career vs. a job, please apply now at www.gghs.caPlease note due to the volume of applications we receive, only successful candidates, selected for an interview, will be contacted directly. No phone calls please.GGHS is an equal opportunity employer and, as such, is committed to providing accommodations to persons with disabilities. If you are selected for an interview please let us know if there is anything we can do to assist you with accessing our organization. Thank you once again for your interest."
Full Stack Software Developer,"Montréal, QC",STRATACACHE,NaN,30+ days ago,"The main task is to design, develop, test and support the specialized core Web applications, using cutting edge Web technologies (Angular / Bootstrap 4). While the emphasis of the position is on the Web Interface and UI design. To accomplish the tasks, you will have a great autonomy, but you can count on the expertise of the current team who are well versed in the involved technologies.Core ResponsibilitiesDesign (collaboratively) and develop user interfacesWork in an Agile / Scrum teamHelp maintain code quality, organization, and automatizationEnsure the best possible performance, quality, and responsiveness of the applicationsBasic Qualifications2+ years of relevant experience in a similar roleFluency in English is mandatory for this position. French is a valuable asset.Proficient in Javascript, Angular, Bootstrap, CSS3, HTML5Strong experience in UI DesignJava, with a good knowledge of its ecosystems is a plus.Implementing automated testing platforms and unit tests (Protractor, Karma, JUnit)Understanding of code versioning tools, such as GitFamiliarity with continuous integration (TeamCity)We are an equal-opportunity employer and diversity is valued at our company. We do not discriminate on the basis of age, race, ethnicity, religion, gender, sexual orientation, or disability status. All of your information will be kept confidential according to EEO guidelines.NOTE: Local candidates only. No relocation or immigration assistance is available for this position. No recruiters or third parties. We thank all candidates for their interest, but only candidates selected for follow-up will be contacted."
Android Developer,"Montréal, QC",FantasySpin Games LLC,NaN,30+ days ago,"FantasySpin is hiring for a full-time Android Developer.FantasySpin is a fantasy sports game that combines the excitement of fantasy football, basketball, and baseball with the thrill of jackpot slot machines. We are a distributed company with offices in Boston, Dallas, and Montreal as well as team members across other parts of the US and Canada. Our concept is unique and has no been implemented before in the fantasy sports space and we are in the process of developing and growing the apps and the system overall.Your ResponsibilitiesDesigning, developing, and maintaining high-performance Android applications.Collaborate with cross-functional teams to define, design, and ship new features.Unit-test code for robustness, including edge cases, usability, and general reliability.Work on bug fixing and improving application performanceParticipating in team discussions and planning sessionsPushing yourself and team members to ensure that goals are metCollaborating with technical and non-technical team members answering any questions they may have.Continuously discover, evaluate, and implement new technologies to maximize development efficiency.Providing time estimates for your work and hit deadlines in an agile environment.Being excited to research and push new web technologies and experiences.Job RequirementsDeep familiarity with Java and Android APIsExperience building high-performance Android apps with animationsExperience with third-party libraries and APIsStrong Multi-platform and cross-browser development and debuggingKnowledge of Bash (or other preferred shell scripting language)Asset: Have published one or more Android apps in the app storeAsset: Linux / Unix / Mac OSX (command line and scripting)Asset: Git for revision controlFantasySpin is an equal opportunity employer and value diversity at our company. We do not discriminate based on race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.Job Type: Full-timeExperience:Java: 2 years (Preferred)Location:Montréal, QC (Preferred)"
FULL TIME PHP AND WORDPRESS FULL STACK WEB-APPLICATION DEVEL...,"Toronto, ON",Mission Control NOC and Helpdesk Services,"$50,000 - $70,000 a year",5 days ago,"MISSION CONTROL NOC and HELPDESK SERVICES is a full-service Network Operations Centre and Helpdesk company. Headquartered in Ontario, Canada and servicing all of North America, we are a solid and growing company that never outsources and never quits!Mission Control is seeking a full-time PHP and WordPress Full Stack Web-Application Developer as a replacement role to the current employee. This is a full-time daytime role.** WHEN SENDING IN RESUMES, PLEASE INDICATE THE FOLLOWING IN THE BODY OF THE EMAIL OR COVER LETTER ***Indicate your primary language and any other languages that you speak that may potentially be an asset** PLEASE NOTE THAT WE ARE LOOKING FOR FULL-TIME AND LONG-TERM RELATIONSHIPS ONLY. THIS IS NOT A SMALL CONTRACT OR PART-TIME POSITION **Responsibilities and DutiesReporting to a senior team leader, the candidate shall perform daily tasks as assigned such as (but not limited to):- Developing and enhancing new and existing in-house custom applications- Communicating with existing clients and team members to continue improving our applications.- Working to build best-in-breed solutionsQualifications and SkillsTechnical Skill Requirements:- Excellent knowledge and experience with WordPress- Excellent knowledge and experience with PHP- Excellent knowledge and experience with Database systems such as MySQL- Excellent knowledge and experience with Windows Desktop OS (XP-7)- Excellent knowledge and experience with Javascript and JQuery- Excellent knowledge and experience with AJAX- Excellent knowledge and experience with open APIs and libraries.Additional Technical Skills to mention:- Knowledge and experience Web Page fundamentals, HTML and Page Design- Knowledge and experience with custom plugins- Knowledge and experience with linux considered an asset- Knowledge of hosting concepts considered an asset- Knowledge of Managed IT Services conceptsGeneral Skills:- Excellent verbal and written English communication skills, including ability to communicate effectively with both IT and business personnel.- Demonstrated ability to prioritize tasks and resolve problems in a timely manner- Ability to multi-task and work in a fast-paced and stressful environment- Desire to learn and take on new responsibilities- Strong attention to detail- A self starter and able to drive tasksJob Types: Full-time, PermanentSalary: $50,000.00 to $70,000.00 /yearExperience:ReactJS: 2 years (Preferred)HTML/CSS: 3 years (Preferred)javascript: 3 years (Preferred)PHP WordPress: 3 years (Preferred)MySQL: 3 years (Preferred)Ajax: 2 years (Preferred)REST API and Libraries: 2 years (Preferred)"
Software Developer,"London, ON",jpw systems inc.,NaN,3 days ago,"Description:The applicant would be working in a small team on a specialized application for managing work in jpw systems' core business of door hardware and access control. The application in question uses MSSQL Server as a database and a C# .NET WPF application. The applicant would ultimately be taking charge of the overall implementation of subprojects within this software and in new areas of the business.Hard Skills (some experience with 2 or more):- Experience with Querying or designing in any SQL based database.- Programming experience with C# using the .NET framework.- Experience with Microsoft's WPF and/or UWP UI framework.Soft Skills:- Ability to problem solve technical issues and fill knowledge gaps with research and testing.- Ability to collaborate and convey ideas not only with other developers with technical expertise but with non computer-oriented employee experts within jpw's core construction business.Responsibilities:- Consult with subject matter experts to design interfaces and logic.- Code documentation, organization, and maintenance.jpw systems has over 50 employees with experience in consulting, specification writing, project management, supplying and installing architectural hardware, access control and CCTV products in the Southwestern Ontario region. Each project consists of a dedicated team who are involved in the project from the planning stages through to its completion.jpw systems has been in business 20 years and offers excellent benefits, wellness allowance, matching Group RSP dollars, flexible hours, birthday's off and profit sharing. We work with architects, contractors and direct, supporting our primary customers - hospitals, education, industrial.Job Types: Full-time, PermanentExperience:Computer Programming: 1 year (Preferred)"
NaN,"Lethbridge, AB",University of Lethbridge,NaN,1 day ago,"Job TitleResearch Software Developer (R&D Specialist)Position DetailsGenomics and bioinformatics are rapidly evolving into a multi-billion research enterprise and industry. We are looking for talented individuals to join the Southern Alberta Genome Sciences Centre in Lethbridge and the research team of Dr. Athan Zovoilis. Dr Zovoilis (MD, PhD) recently joined the University of Lethbridge from Harvard Medical School (US) and holds a Canada Research Chair in RNA Bioinformatics and Genomics.The Southern Alberta Genome Sciences Centre (SAGSC) is an interdisciplinary research centre at the University of Lethbridge (www.sasgc.org). SAGSC develops and applies systems-level approaches in bioinformatics, health and agriculture genomics. Experimental and computational approaches are combined to pioneer the way for a predictive, preventive and personalized medicine and precision agriculture. SAGSC is the leading hub of a network of Albertan Universities, the Alberta BIOinformatics NETwork (BioNet) (www.bionet-alberta.org). SAGSC and BioNet are looking for software developers with the following qualifications to work on different web applications developed in-house as part of our data integration and analysis system.Your role is to contribute to the design of the bioinformatics web platform and database, write reliable and efficient code, and work closely with other team members aiming for a high level of quality and user satisfaction.Lethbridge, the fastest growing Canadian city in its category, is a medium size prosperous city ranked as one of the best places to live in Canada. UofL is well positioned as the third largest research University of Alberta, the richest Canadian Province, and it is only 45 minutes away from the Canadian Rockies, a top tourist and recreation destination in North America of wild and pristine beauty.Our University’s Blackfoot name is Iniskim, meaning Sacred Buffalo Stone. The University is located in traditional Blackfoot Confederacy territory. We honour the Blackfoot people and their traditional ways of knowing in caring for this land, as well as all Aboriginal peoples who have helped shape and continue to strengthen our University community.We offerHighly competitive salaries based on the candidate’s experience o Participation in the building of a state-of-the-art platform to enable precision medicine and agricultureAn opportunity to join a fast-growing Institute headed by Dr. Athan Zovoilis and its Bioinformatics Core Facility under the core’s manager, Ms. Yubo Cheng (www.genomeintelligence.org)An exciting international environmentPosition QualificationsAn interest in state-of-the-art technologiesAutonomous, dynamic and curiousKnowledge of at least some of the following: Python and/or Java, JavaScript, HTML/CSS – DBMSA Higher-education degree (On software engineering/computer science or in Bioinformatics or in another field but with equivalent proven training as software developer)1. PhD – PhD holders will assume a post-doctoral position.2. Masters – MSc holders will assume a Research Associate position with the possibility after some time to get support to apply for a PhD program.3. BSc – Only exceptional BSc holders with proven skills in software development and database management will be considered with the possibility after some time to get support to apply for an MSc program.Expertise in Bioinformatics or Computational Biology is considered an advantage but is NOT mandatory.Hiring RangeCampusLethbridgeEmployment GroupPosition Category"
Web Application Developer,"Ottawa, ON",Sander Geophysics Limited,NaN,18 days ago,"Sander Geophysics(SGL) specializes in high-resolution airborne geophysical surveys for petroleum and mineral exploration, as well as geological and environmental mapping. The company carries out airborne gravity, magnetic, electromagnetic, and radiometric surveys, using fixed-wing aircraft and helicopters.SGL is seeking a skilled web application developer to complete a modernization process of our business infrastructure. Primary duties will include gathering requirements based on existing solutions; adapting the open-source Dolibarr ERP and CRM solutions to our business needs; and building and deploying additional database applications to support and enhance our internal business workflows. S/he will also work with other areas of the IT team and business to continually evolve based on user feedback and ensure that in house applications and systems are meeting SGL’s requirements. The developer will ensure that industry standard development practices are adhered to and ensure the output from all development activities is manageable and supportable.Responsibilities of the Position· Gather functional requirements and identify new features· Adapt and modify open-source ERP solutions to business needs· Build business software applications from scratch focused on user centered design· Update and modernize legacy database applications with current tools· Develop technical and training manuals· Troubleshoot and research to determine solutions to user and system issuesQualifications and Experience· Proven work experience developing web-based applications with one or more modern application frameworks· Demonstrated ability to work with users to determine application requirements and solutions, with a problem-solving attitude· In-depth understanding of data management (e.g. permissions, recovery, security and monitoring)· Knowledge of current application development, deployment, and management practices, including CI and DevOps tools such as Gitlab and Docker· Familiarity working with both front and back-end software development· Excellent analytical and organization skills· Excellent verbal and written communication skills· BSc degree in Computer Science or relevant field· Strong proficiency with relational databases and SQL· Proficient understanding of version control tools such as Git· Experience with Dolibarr, Django, and Access databases a plusBenefitsSGL is committed to promoting employee wellness and successful work-life balance. Employee benefits include (but are not limited to):Comprehensive Benefits coverage including health, dental, vision, and paramedicalLife insuranceEmployee & Family Assistance ProgramPaid vacation, personal leave, and medical leaveOn-site gym and fitness classesSocial gatherings such as BBQs throughout the yearOn-site parkingIf you are interested or know a qualified person who would be interested, please forward their resume via email. Please include the position title in the subject line of your email.Sander Geophysics is an equal opportunity employer. Accommodations are available for applicants with disabilities throughout the recruitment process. If you require accommodation, contact Human Resources prior to your interview. Please note that only applicants selected for an interview will be contacted. We thank all applicants for their interest.Job Types: Full-time, ContractExperience:Web Development: 1 year (Preferred)"
Web Developers (PHP),"Montréal, QC",Callière Group,NaN,18 days ago,"We are back at recruiting for PHP Developers! The company in question is focused on the vast realm of eCommerce, and have carved out a brilliant niche for themselves. They are a true start-up comprised of industry veterans and a team that is atop their game. They need the next person who joins them to be someone who enjoys constantly learning, growing with them, and making a tangible impact. A passion for building from the ground up, and understanding the associated risk is obviously.... paramount.Any CMS experience or eCommerce experience is going to go a long way (but, no experience with eComm is no problem. So long as you have an interest in learning). If you have neither, but are passionate about coding and learning new skills / tech, please keep reading.Some of the day-to-day;Focus on server-side development for high-traffic, client-driven projects.Learn from senior-level engineers who are passionate about new technologies.Work on web and mobile projects.What we hope you have experience with;3-5+ years of back-end PHP development.PHP Framework experience is a huge plus.Experience with Magento is a nice asset to have.Bachelors Degree in Computer Science.Desire to learn and work in an open and collaborative environment.Additional InformationThis is a full-time position. Only Canadian citizens or Permanent Residents of Canada are being considered at this time."
Web Developer,"Montréal, QC",ABC INFORMATION TECHNOLOGY GROUP,NaN,11 days ago,"Software developer who has embraced modern web technologies, TypeScript,, JavaScript in frameworks like Vue, BootStrap, React, and Node.web-based solutions using best-in-class cloud technologies to modernize our client’s current JSP based application.web-based tools and cloud services to aid in the construction of intuitive web-based applications.ResponsibilitiesCoding, debugging, and supporting cloud-based applicationsPerforming unit, integration, and system testingCreating elegant user interface solutionsQualifications2+ years of software development experienceKnowledge of web development technologies and tools (HTML5, CSS3, CSS frameworks, Responsive Web Design, JavaScript frameworks, etc.)Experience working with Vue, BootStrap, React, or Angular/TypescriptDemonstrable knowledge of object-oriented developmentKnowledge of Test-Driven Development, unit testing, and clean codeKnowledge of Git source control or similarUnderstanding of testing tools such as Mocha, Jest, Karma, Protractor, or JasmineSuperb written and oral communication skillsOutstanding interpersonal skills, strong work ethic, self-motivated and excellent presentation skillsAbility to effectively work both autonomously as well as on a teamJob Type: Full-timeExperience:Web Development: 2 years (Required)Education:Bachelor's Degree (Preferred)Language:English (Required)"
NaN,"Toronto, ON",500px,NaN,2 days ago,"The Company-----------Our mission is to connect the world's photographers. Every month, millions of people from around the world use our website and mobile apps to find, share, and get rewarded for the world's most inspiring photography.We take pride in the products we ship and love what we do. Our engineering culture values mentorship, ownership, collaboration, and getting stuff done.Our technology stack includes: React, Redux, ES6, Ruby on Rails, Python, Go, MySQL, MongoDB, Redis, Elasticsearch, and various Amazon AWS services.The Job-------The0pxwebsite and associated APIs are critical to our business and to our community. As a Full Stack Developer you'll be responsible for helping to deliver everything from tiny UX improvements, to broad structural changes spanning multiple codebases that require deep knowledge of React and Redux, and other web frameworks.What You'll Be DoingDesigning, implementing and optimizing web products used by millions of users.Turning product plans into code, involving close collaboration with product managers, designers, and front-end web and mobile developers.Building highly scalable API services.Supporting the design and maintenance of the0pxsystems infrastructure.Involved in technical planning and architectural decision-making.Coordinating and collaborating with developers across multiple teams and tech stacks.Providing technical leadership and mentorship to other team members.Becoming intimately familiar with our servers and forming an opinion about how to debug and improve them.Be able to work independently, and be effective at getting yourself unblocked when you need it.Helping the team prioritize, assess risk, and evaluate tradeoffs.Engaging in discussions thoughtfully, and supporting clear decision making throughout the team.What the Ideal Candidate Will HaveA positive attitude and a strong intellectual curiosity.3+ years of web development experience.Experience shipping software at scale, with a product-focused mindset.Experience using JavaScript and familiarity with common JavaScript tools and frameworks like React and Redux.Experience working with web frameworks like Ruby on Rails, Django, and Express.Familiarity with MySQL, MongoDB, Redis, Memcached, and ElasticSearch.A solid understanding of the pros/cons of these different tools, and sound judgement in evaluating their tradeoffs for different applications.Intermediate-level knowledge of fundamental web technologies including HTTP and RESTful services, and common web security pitfalls.------Perks-----Interesting technical challengesCompetitive salaries, quarterly bonus structureFlexible hoursCatered lunches, snacks and drinksGreat health and dental benefits, paid parental leaveProfessional development opportunities------Our Interview Process---------------------Phone screen: < 30 min conversation with HR or a hiring managerCoding challenge: we'll ask you to write some code, and then share it with us to reviewIn-person interviews: 2-3 hours at our office where you'll meet multiple members of our team------Diversity---------We believe diverse teams perform better, and we seek to increase our overall team diversity. We make active efforts to reduce the impact of unconscious bias in our hiring process.Accessibility-------------< > br0pxwelcomes and encourages applications from people with disabilities. Accommodations are available on request for candidates taking part in all aspects of the selection process."
NaN,"Waterloo, ON",GHD,NaN,10 days ago,"About the job:We are looking for a Junior.NET Developer to join our talented, well-established, client-centric IT team to work on implementing cutting-edge websites utilizing our i:Create CMS. The position will report directly to the Product Lead based at our Waterloo, Ontario office.About you:You strive for client satisfaction through rapid delivery of high quality software. You dislike repetitive tasks and enjoy coding automated solutions to save time and money. You thrive as an independent worker and are responsible for implementing cutting edge websites using HTML5, CSS3, RESTful web services, and ASP.NET user controls. You demonstrate full responsibility of work you're leading and perform at a high level of quality, speed, reliability and efficiency. You have a proficient knowledge of products and processes and share knowledge within your team.As a well-rounded programmer, you participate in all Systems Development Life Cycle activities from research and analysis, through planning, design, development, quality assurance, installation, servicing, internal documentation and maintenance. You contribute to the continuous improvement of all work processes; identifying, reducing, and eliminating waste.You work closely together with other team members to ensure team success. You believe that the best way to stay ahead in the game is to be a continual learning and help encourage others to strive for the same.What you’ll do:Plan, analyze, design, develop and implement customer facing website development projectsCreate and design solutions to defined business problems, both manual and automatedDesign, code, test, debug, maintain, and document programs primarily in ASP.NET, HTML5,and CSS3.Requirements:Great problem solving skills and attention to detailsExtensive experience debugging and evaluating existing codeA positive attitude, flexibility, eagerness and the ability to learnAbility to take common tasks and automate them into time-saving processesAbility to work independently in a self-directed manner or in a small teamExcellent written and verbal communication skillsMust have 1+year of C#.NET development experience1+ years of practical ASP.NET development experience1+ years of experience implementing websites using a CMS1+ years of experience with responsive design and front-end development (HTML5, CSS3, jQuery, AngularJS)Strong Object Oriented Design skillsProven experience working in a fast-paced, demanding environmentMore information about us:eSolutionsGroup helps public sector clients across North America better connect with communities and deliver services more efficiently through award-winning design integrated with advanced web and mobile applications. 20 years in business. 350+ clients. More than 120 marketing and technology awards in the past 5 years. It all adds up. Learn more at www.esolutionsgroup.ca.We offer a professional working environment and culture and believe that work/life balance contributes to the success and happiness of our people. We also offer competitive salary packages based on qualifications, skills and experience.As a multicultural organization, we encourage individual achievement and recognize the strength of a diverse workforce. eSolutionGroup is an equal opportunity employer. Upon request, eSolutions will provide reasonable accommodation for applicants with disabilities throughout the recruitment and selection process.#LI-SS1"
NaN,"St. John's, NL",Radient360 Solutions,NaN,3 days ago,"About the job:Are you looking to jump start your career with a company that thrives on insights, creativity and most of all collaboration? Do you enjoy a high-energy dynamic work environment?radient360 is looking for a Software Developer with a passion for building production systems. You will be pivotal in maintaining the customer journey. You will work closely as a member of our development team while collaborating with our solutions team. You will work on creating, maintaining and extending a variety of systems.We need people who are highly capable in front-end and back-end development to help lead new initiatives forward, see the bigger picture and identify opportunities for growth throughout the systems.*We believe that radient360 is the right place for you if you:Are passionate about innovation and have a natural curiosity to find solutions;Seek diversity in your work;Want to make an impact in the early stages of a successful tech company;Are eager to take on responsibilities and to face new challenges;Value learning new ways of doing things;Embrace challenges in a fast-paced environment.___**_Responsibilities:Participate in the design and technical choices that build a SaaS cloud-based product;Work with the software development team to develop and implement web and mobile software applications;Maintain and improve the performance of existing software applications;Utilize JIRA to track issues and tasks throughout the development process;Provide solutions by demonstrating problem solving skills;Clearly and regularly communicate with management and technical support colleagues;Improve operations by recommending changes to policies and procedures.Qualifications:Diploma or degree in computer science, computer engineering, web development, or combination of relevant training and experience;Proficient in software development fundamentals, such as: data structures, algorithms and software architecture patterns;Proficient understanding of relational and/or non-relational databases;Experience in performance testing, unit testing, debugging skills and writing scripts for automation and deployment;Experience working with JavaScript, Node.js, HTML, CSS, and graph databases such as Neo4j;Data cleaning and data normalization would be an asset.radient360 embraces diversity. Individuals that represent a variety of backgrounds, perspectives, and skills are encouraged to apply.radient360 offers competitive wages, great learning experience and a place to grow. If you are thinking that this sounds like the perfect fit then we would love to hear from you right now.*Job Types: Full-time, Permanent"
Front End Developer,"Waterloo, ON",CloudHawk,NaN,17 days ago,"CloudHawk is a commercial-grade telematics system with industrial IoT sensors built to provide the best real-time accuracy for businesses with valuable fleet assets.We are looking for an experienced front-end developer who can make a big impact on our CloudHawk web portals, which provide core user-facing features including our Live Map, alerting, geo-fences, reporting, trip replay, and account management. Our web UI must be responsive and intuitive, providing a clean view into a large amount of real-time information.The ideal candidate will have strong technical ability, good intuition for UX design, and the experience to see through the hype of the latest web technology fads. Initiative and know-how to own UI projects from concept to implementation is a given. This role and compensation will be tailored to meet your qualifications and experience.What You'll Be Doing:Design and implement front end features for CloudHawk web portalsTweak or implement backend REST APIsClearly propose and communicate your ideas in person (verbally, whiteboard) and digitally (written, diagrams/mockups)Collaborate with others to move quickly from brainstorming to consensus to a concrete plan that you can implementPrototype the UI assets you need in draft quality (icons PNGs, font glyphs, etc.)Measure and improve UI responsiveness across the full stackInstrument front end UI to ensure flow of live diagnostics and analytics data back to the cloudImplement automated tests to ensure high quality and easy maintainabilityExperience You'll Bring to the Team:Several years of experience in web development, with a focus on UIDegree in computer science, software engineering or equivalentExpertise in all aspects of HTML5/JS/CSS and single-page web apps and frameworksDeep diving, wrangling and optimizing UIs built with with Vue, React or AnsibleClient-side real-time web applications using WebSocketsExpertise in the details of how JS and CSS impact renderingREST API implementation in Python (Django, Tornado), Golang or Node.jsAgile development process and tools, CI/CDExperience that would be an Asset:Adaptive web UI for mobile/tablet/desktop; web accessibility; localizationIntegration with Google Maps, Bing Maps or similar mapping servicesCreating or modifying icon font glyphs and PNGs using InkScape, GIMP and FontForgeAWS/GCP/Azure, Ansible, Firebase, containers, databasesHybrid mobile app UI development (Ionic/Framework7/React Native/etc.)About CloudHawkCompanies rely on CloudHawk to track vehicles, powered equipment and other assets, enabling them to maximize utilization, increase real-time situational awareness of their assets, reduce both business costs and business risks, as well gain insights on business analytics.CloudHawk IoT hardware, designed in house, is known for superior performance in challenging mobile environments, including covert and all-weather applications. Our innovation extends to our cloud infrastructure, which provides 24x365 connectivity and services to IoT devices, mobile apps and web users with high availability, next gen security and high efficiency. Intuitive, high-productivity web and mobile apps and proactive customer support round out the story of how CloudHawk continues to gain customers and disrupt competitors.We are carefully growing our engineering team with experienced individuals who have a track record for solving the tough problems well. CloudHawk was founded by a team of global leaders in mobile hardware and antenna design and we remain an engineering-focused company that understands the value of hiring the right people. CloudHawk also provides generous benefits, a flexible work culture that values work-life balance and a ton of opportunity.We thank you for your interest in CloudHawk. Please note that we will only follow up with selected candidates.Benefits:Extended health careOn-site parkingVacation & paid time offStock optionsDental careFlexible working hoursCasual dressVision careParental leaveReference ID: 117 - Front End DeveloperJob Types: Full-time, PermanentExperience:Front End Development: 4 years (Required)"
